"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Impressions,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Total clicks","Matched Audience Targeting Consumption (Photo Click)","Other Clicks","Link Clicks","Impressions from Unpaid posts","Impressions from Boosted posts","Reach from Organic posts","Reach from Boosted posts","3-second video views","1-minute video views","3-Second viewers","1-minute viewers","3-second video views from Boosted posts","3-second video views from Organic posts","Engaged users","Negative feedback from users","Unique negative feedback from users",REELS_PLAYS:COUNT,"Seconds viewed","Average Seconds viewed","Estimated earnings (USD)","Ad impressions"
923886339461725,100055211027046,"Rebecca Block Art and Design","Aloha! I suppose I should make my first post-covid update and say that my family lives in Hawai'i now. Never thought I'd say that but some opportunities you just gotta roll with! We're loving it, learning the language and culture, enjoying the food and the amazing time in nature. We are honored to be here and love the relationships we've made with so many people the last couple years.

I've started a business here to teach art classes to kama'aina adults,  keiki, teens, and the occasional visitor, so if you want in on that, DM me. (Old website is getting a total revamp.) I'm on O'ahu but am very able to do virtual inter-island classes with a very small group. Daytime homeschool classes will be starting in April, with afternoon classes after the public schools let out. More types of classes will be added over the summer. Each series of classes will be 4 weeks, and I will help you hone whatever skills you have. No matter what level you're at, I will meet you there.

I'm not gonna be tripping over myself trying to do social media things, because I don't foresee it being helpful for what I aim to do. So the upcoming posts will be more like a portfolio so those who need to know can see my style of work and experience. Just because I wasn't posting art since COVID doesn't mean I wasn't creating, so I have a backlog of stuff I should post eventually. But consider my social media posting to be on island time. I got other things to do.

 Look, I'm even gonna do this without hashtags:",,0,"02/26/2024 19:31",N/A,https://www.facebook.com/rebeccablockartworks/posts/pfbid02s6px6a5ebiJFMhNF5kScUitioeZfTAwUHgaD4BdqvT6M9fiAuezMM5kmuHyRaLiFl,0,0,Photos,,,,,Lifetime,426,366,76,55,19,2,45,11,34,,426,0,366,0,0,0,0,0,0,0,53,0,0,,,,,
965410865309272,100055211027046,"Rebecca Block Art and Design","Work in progress - I'm recording a bunch of projects this week for my adult watercolor classes and I've decided that orchids hurt my brain. Simultaneously, I love them because I have to think so hard about saturation and value and texture and what's coming next. 😜",,0,"05/03/2024 16:27",N/A,https://www.facebook.com/rebeccablockartworks/posts/pfbid0douxuvfcqBiKwKPo6V6eHEBpRGKTfQMY125KRvxS5fvYyNaTxbcHYZXHhTrxEoRDl,0,0,Photos,,,,,Lifetime,103,95,6,6,0,0,6,6,,,103,0,95,0,0,0,0,0,0,0,10,0,0,,,,,
961004025749956,100055211027046,"Rebecca Block Art and Design","Register now for art classes in May! Registration is open until the night before a class starts. Head over to hawaii-art-classes.square.site to check out more details and sign up!","Register now for art classes in May! Registration is open until the night before a class starts. Head over to hawaii-art-classes.square.site to check out more details and sign up!",24,"04/26/2024 23:21",N/A,https://www.facebook.com/reel/289465564212975/,0,0,Reels,,,,,Lifetime,80,70,5,1,0,4,0,,,,80,0,70,0,,,,,0,157,,,,448,2435.71,7.985,0,0
960878012429224,100055211027046,"Rebecca Block Art and Design","Some artists LOVE using a logical, scientific method to test supplies, colors, and interactions between pigments. (meeeeeeee!) And I love explaining the science behind why certain art media behaves the way it does. That's yet another reason why I think in-person art classes and personalized, small virtual art classes are far superior to other types. If you have a ""why"" question about the thing you're working on, I can help you answer it.

This test batch of colors was done with  green tubes of Daniel Smith watercolors + their Neutral Tint. You can do a setup like this to test a batch of your own colors, any brand at all. Even cheapie kiddo paints! 10/10 recommend. 

More importantly, you should know that I don't sit on IG/FB and obsessively create content that will basically only be seen if I pay out of the wazoo for ads. You should go to my site and subscribe to my emails if you want to see more of this kind of thing, usually with an excessive amount of detail because I'd rather spend my time sharing my knowledge with people directly rather than through a platform that could disappear off the internet any day they want. You'll get stuff that I don't post on these places, plus updates on new monthly classes at my studio and in the community. Also, I'll be having some live video events here and there that is available ONLY for email subscribers. (Link in bio)","Some artists LOVE using a logical, scientific method to test supplies, colors, and interactions between pigments. (meeeeeeee!) And I love explaining the science behind why certain art media behaves the way it does. That's yet another reason why I think in-person art classes and personalized, small virtual art classes are far superior to other types. If you have a ""why"" question about the thing you're working on, I can help you answer it.

This test batch of colors was done with  green tubes of Daniel Smith watercolors + their Neutral Tint. You can do a setup like this to test a batch of your own colors, any brand at all. Even cheapie kiddo paints! 10/10 recommend. 

More importantly, you should know that I don't sit on IG/FB and obsessively create content that will basically only be seen if I pay out of the wazoo for ads. You should go to my site and subscribe to my emails if you want to see more of this kind of thing, usually with an excessive amount of detail because I'd rather spend my time sharing my knowledge with people directly rather than through a platform that could disappear off the internet any day they want. You'll get stuff that I don't post on these places, plus updates on new monthly classes at my studio and in the community. Also, I'll be having some live video events here and there that is available ONLY for email subscribers. (Link in bio)",57,"04/26/2024 18:32",N/A,https://www.facebook.com/reel/454204507285974/,0,0,Reels,,,,,Lifetime,109,105,1,1,0,0,0,,,,109,0,105,0,,,,,0,39,,,,119,850.249,8.502,0,0
955834116266947,100055211027046,"Rebecca Block Art and Design","Two cacao pods of various ripeness and sizes, done in watercolor and colored pencil during the Draw Botanical workshop at the National Tropical Botanical Gardens on Kaua'i this past February. I really like this method of testing your paint on the edges (which would typically be covered by a mat....this is the standard way to display paper artwork so the art is not sticking against the glass.) Is this realistic style how I normally work? No. Did I learn SO MUCH STUFF from some amazing artists that I can apply to my own style in the future? ABSOLUTELY!!!! 

A funny thing about it, though.....I usually avoid doing this style because I know I could do it really, really well. But I struggle with perfectionist tendencies and I DON'T want to make art like this because it makes it worse for me. I would sit there for DAYS trying to perfect a single piece. NOT doing this style of super realistic work and doing looser, imperfect work helps me to chilllllll out. 

But I have ZERO regrets about doing this workshop because the quality of feedback I got from the teachers and other artists was absolutely invaluable. Although I've been taking online and in-person workshops throughout the years, absolutely nothing came close to being able to learn from other artists in-person. 

Also. I really love that science-minded artists are able to critique my art in a logical and clear way. I absolutely loathe art-world talk that relies on descriptions of wishy-washy feelings rather than reason and evidence. If you have a high opinion of art that is displayed in museums or galleries, you probably don't want to visit them with me because I'll call out the baloney. You'll never look at artist statements the same way without rolling your eyes. 🤣 Sorrynotsorry",,0,"04/18/2024 18:52",N/A,https://www.facebook.com/rebeccablockartworks/posts/pfbid0ZaQiNL2FrmdxnJehjiaAncyKWwsn6mNBVXq9P2zCRotDkacJ8YHhzwkWSzPpdyGKl,0,0,Photos,,,,,Lifetime,111,106,10,5,5,0,10,2,8,,111,0,106,0,0,0,0,0,0,0,9,0,0,,,,,
955254709658221,100055211027046,"Rebecca Block Art and Design","This cowrie shell is a piece of work! Phew! Almost there! The eraser guard has been an invaluable tool for this one. Really liking the stick erasers too! (Tombow Mono Zero brand) Both of these are something I learned how to use back in February at an in-person workshop. I'm REALLY glad I spent the time and money to learn from people better than myself so I could step up certain components of my art skills. Online video tutorials have their place (and I use them myself occasionally), but NOTHING can take the place of learning art live and in-person. And it's because of **teacher feedback.** If you aren't getting that from an art class, you're missing a key component to your own learning.

 SPEAKING OF art teachers who give you feedback....😁 May classes are available for registration on my website! TONS of new days and times, plus added keiki classes, 'ohana classes, and so much more. Link in comments. 👇 And! And! And! Please sign up for my email list so you get notified about new classes next month! I include tips and goodies for you in there, and you'll be on the exclusive invite list for awesome things like free open studio times and free virtual demos/q&a in the future! 🤫",,0,"04/17/2024 19:50",N/A,https://www.facebook.com/rebeccablockartworks/posts/pfbid0nzXpHa9aL6iy9V8qe4ZkUauoUqXRRACt6p9f85bTZHTk5ZLHBWquKhsQvpf9x3Q5l,0,0,Photos,,,,,Lifetime,238,231,13,6,6,1,14,2,12,,238,0,231,0,0,0,0,0,0,0,13,0,0,,,,,
950836110100081,100055211027046,"Rebecca Block Art and Design","I got it, y'all! The SPAM Hawaiian Collectors Edition. From Foodland, obviously, and now there's just one left on their shelf LOL. My kids like the occasional musubi and I like to use them for organizing random things, so when this gardener heard about this, I knew I wanted to find a couple of cans. The design is by muralist Kamea Hadar and features the Hawaiian yellow hibiscus as well as the pink lokelani rose for the island of Maui. 💕 Links in comments to the press release with a video interview of the artist, as well as Kamea's website, so go check out his work!",,0,"04/10/2024 18:00",N/A,https://www.facebook.com/rebeccablockartworks/posts/pfbid02piMChb5RRmBfzvZVxfEPK9iHnZANeRmcKwLed8r6dPr37K5F7j8Ghgm8X4Re84iol,0,0,Photos,,,,,Lifetime,161,154,7,1,6,0,10,3,7,,161,0,154,0,0,0,0,0,0,0,11,0,0,,,,,
946439730539719,100055211027046,"Rebecca Block Art and Design","Who out there is interested in a color theory class to help you better understand mixing and painting? It goes wayyyy beyond the color wheel you learned in school....",,0,"04/03/2024 15:26",N/A,https://www.facebook.com/rebeccablockartworks/posts/pfbid038A5716wZqmrmsWSiGUvxMs4xCLA6BKSvL7Xa3AvBxKN1zeRHtc1KdwLAvFtZuhatl,0,0,Photos,,,,,Lifetime,73,69,3,3,0,0,0,,,,73,0,69,0,0,0,0,0,0,0,3,0,0,,,,,
942548280928864,100055211027046,"Rebecca Block Art and Design","Have you seen those gray kneaded erasers in the drawing supplies section of your local arts and crafts store? Maybe you bought it and haven't seen it in a while. Well, first off, I'd check with ya kids this weekend....it's like flies to honey with that stuff. 🤣 When you relocate it from their sticky lil mitts/their top dresser drawer, come back and try this. Not only are they great for molding and pressing on paper to lighten an area of a shaded object, but they can also be used as a sticky holder for an object you're working on. On top of that, you can take a tiny dot of the stuff and use it as a visual marker on something Fibonacci-esque like a pineapple, pinecone, etc.

P.S. Tell me where you found the eraser. I want to know if I guessed right.",,0,"03/28/2024 18:33",N/A,https://www.facebook.com/rebeccablockartworks/posts/pfbid0yq32th1TFvAB84pY8snzhtQ8Km2TXPXQt491FzcXcFtNuQDQvNQS9fr4aMuubgSol,0,0,Photos,,,,,Lifetime,83,78,4,4,0,0,0,,,,83,0,78,0,0,0,0,0,0,0,4,0,0,,,,,
941957634321262,100055211027046,"Rebecca Block Art and Design","Three views of the same shell. I like the bottom specimen better, but of course I didn't find that one until after I started drawing the top one. Hah! Searching for the names for this one, so if you're a shell aficionado, please let me know!

Other pic is some page planning. I might not do all of these; we'll see! The nice thing about drawing life-sized little things is that they're easy to move around and decide where to put them!",,0,"03/27/2024 20:54",N/A,https://www.facebook.com/rebeccablockartworks/posts/pfbid02DWzZt5vzWAja7A13UkE4gLzKjNPXR34QHnfhhqnFdhEc5XQrgNpG7c8qzdNSck6Tl,0,0,Photos,,,,,Lifetime,108,103,7,5,2,0,8,5,3,,108,0,103,0,0,0,0,0,0,0,12,0,0,,,,,
